DATA|HORA|PONTO|VALOR
27/10/2020|11:21:52|0|1000
27/10/2020|11:21:52|1|0
27/10/2020|11:21:52|2|0
27/10/2020|11:21:52|3|0
27/10/2020|11:21:52|4|0
27/10/2020|11:21:52|5|0
27/10/2020|11:21:52|6|32000
27/10/2020|11:21:52|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:21:54|0|1000
27/10/2020|11:21:54|1|0
27/10/2020|11:21:54|2|0
27/10/2020|11:21:54|3|0
27/10/2020|11:21:54|4|0
27/10/2020|11:21:54|5|0
27/10/2020|11:21:54|6|32000
27/10/2020|11:21:54|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:21:56|0|1000
27/10/2020|11:21:56|1|0
27/10/2020|11:21:56|2|0
27/10/2020|11:21:56|3|0
27/10/2020|11:21:56|4|0
27/10/2020|11:21:56|5|0
27/10/2020|11:21:56|6|32000
27/10/2020|11:21:56|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:21:58|0|1000
27/10/2020|11:21:58|1|0
27/10/2020|11:21:58|2|0
27/10/2020|11:21:58|3|0
27/10/2020|11:21:58|4|0
27/10/2020|11:21:58|5|0
27/10/2020|11:21:58|6|32000
27/10/2020|11:21:58|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:22:00|0|1000
27/10/2020|11:22:00|1|0
27/10/2020|11:22:00|2|0
27/10/2020|11:22:00|3|0
27/10/2020|11:22:00|4|0
27/10/2020|11:22:00|5|0
27/10/2020|11:22:00|6|32000
27/10/2020|11:22:00|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:22:02|0|1000
27/10/2020|11:22:02|1|0
27/10/2020|11:22:02|2|0
27/10/2020|11:22:02|3|0
27/10/2020|11:22:02|4|0
27/10/2020|11:22:02|5|0
27/10/2020|11:22:02|6|32000
27/10/2020|11:22:02|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:22:04|0|1000
27/10/2020|11:22:04|1|0
27/10/2020|11:22:04|2|0
27/10/2020|11:22:04|3|0
27/10/2020|11:22:04|4|0
27/10/2020|11:22:04|5|0
27/10/2020|11:22:04|6|32000
27/10/2020|11:22:04|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:22:06|0|1000
27/10/2020|11:22:06|1|0
27/10/2020|11:22:06|2|0
27/10/2020|11:22:06|3|0
27/10/2020|11:22:06|4|0
27/10/2020|11:22:06|5|0
27/10/2020|11:22:06|6|32000
27/10/2020|11:22:06|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:22:08|0|1000
27/10/2020|11:22:08|1|0
27/10/2020|11:22:08|2|0
27/10/2020|11:22:08|3|0
27/10/2020|11:22:08|4|0
27/10/2020|11:22:08|5|0
27/10/2020|11:22:08|6|32000
27/10/2020|11:22:08|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:22:10|0|1000
27/10/2020|11:22:10|1|0
27/10/2020|11:22:10|2|0
27/10/2020|11:22:10|3|0
27/10/2020|11:22:10|4|0
27/10/2020|11:22:10|5|0
27/10/2020|11:22:10|6|32000
27/10/2020|11:22:10|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:22:12|0|1000
27/10/2020|11:22:12|1|0
27/10/2020|11:22:12|2|0
27/10/2020|11:22:12|3|0
27/10/2020|11:22:12|4|0
27/10/2020|11:22:12|5|0
27/10/2020|11:22:12|6|32000
27/10/2020|11:22:12|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:22:14|0|1000
27/10/2020|11:22:14|1|0
27/10/2020|11:22:14|2|0
27/10/2020|11:22:14|3|0
27/10/2020|11:22:14|4|0
27/10/2020|11:22:14|5|0
27/10/2020|11:22:14|6|32000
27/10/2020|11:22:14|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:22:16|0|1000
27/10/2020|11:22:16|1|0
27/10/2020|11:22:16|2|0
27/10/2020|11:22:16|3|0
27/10/2020|11:22:16|4|0
27/10/2020|11:22:16|5|0
27/10/2020|11:22:16|6|32000
27/10/2020|11:22:16|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:22:18|0|1000
27/10/2020|11:22:18|1|0
27/10/2020|11:22:18|2|0
27/10/2020|11:22:18|3|0
27/10/2020|11:22:18|4|0
27/10/2020|11:22:18|5|0
27/10/2020|11:22:18|6|32000
27/10/2020|11:22:18|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:22:20|0|1000
27/10/2020|11:22:20|1|0
27/10/2020|11:22:20|2|0
27/10/2020|11:22:20|3|0
27/10/2020|11:22:20|4|0
27/10/2020|11:22:20|5|0
27/10/2020|11:22:20|6|32000
27/10/2020|11:22:20|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:22:22|0|1000
27/10/2020|11:22:22|1|0
27/10/2020|11:22:22|2|0
27/10/2020|11:22:22|3|0
27/10/2020|11:22:22|4|0
27/10/2020|11:22:22|5|0
27/10/2020|11:22:22|6|32000
27/10/2020|11:22:22|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:22:24|0|1000
27/10/2020|11:22:24|1|0
27/10/2020|11:22:24|2|0
27/10/2020|11:22:24|3|0
27/10/2020|11:22:24|4|0
27/10/2020|11:22:24|5|0
27/10/2020|11:22:24|6|32000
27/10/2020|11:22:24|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:38:55|0|1000
27/10/2020|11:38:55|1|0
27/10/2020|11:38:55|2|0
27/10/2020|11:38:55|3|0
27/10/2020|11:38:55|4|0
27/10/2020|11:38:55|5|0
27/10/2020|11:38:55|6|32000
27/10/2020|11:38:55|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:38:56|0|1000
27/10/2020|11:38:56|1|0
27/10/2020|11:38:56|2|0
27/10/2020|11:38:56|3|0
27/10/2020|11:38:56|4|0
27/10/2020|11:38:56|5|0
27/10/2020|11:38:56|6|32000
27/10/2020|11:38:56|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:38:57|0|1000
27/10/2020|11:38:57|1|0
27/10/2020|11:38:57|2|0
27/10/2020|11:38:57|3|0
27/10/2020|11:38:57|4|0
27/10/2020|11:38:57|5|0
27/10/2020|11:38:57|6|32000
27/10/2020|11:38:57|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:38:58|0|1000
27/10/2020|11:38:58|1|0
27/10/2020|11:38:58|2|0
27/10/2020|11:38:58|3|0
27/10/2020|11:38:58|4|0
27/10/2020|11:38:58|5|0
27/10/2020|11:38:58|6|32000
27/10/2020|11:38:58|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:38:59|0|1000
27/10/2020|11:38:59|1|0
27/10/2020|11:38:59|2|0
27/10/2020|11:38:59|3|0
27/10/2020|11:38:59|4|0
27/10/2020|11:38:59|5|0
27/10/2020|11:38:59|6|32000
27/10/2020|11:38:59|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:39:00|0|1000
27/10/2020|11:39:00|1|0
27/10/2020|11:39:00|2|0
27/10/2020|11:39:00|3|0
27/10/2020|11:39:00|4|0
27/10/2020|11:39:00|5|0
27/10/2020|11:39:00|6|32000
27/10/2020|11:39:00|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:39:01|0|1000
27/10/2020|11:39:01|1|0
27/10/2020|11:39:01|2|0
27/10/2020|11:39:01|3|0
27/10/2020|11:39:01|4|0
27/10/2020|11:39:01|5|0
27/10/2020|11:39:01|6|32000
27/10/2020|11:39:01|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:39:02|0|1000
27/10/2020|11:39:02|1|0
27/10/2020|11:39:02|2|0
27/10/2020|11:39:02|3|0
27/10/2020|11:39:02|4|0
27/10/2020|11:39:02|5|0
27/10/2020|11:39:02|6|32000
27/10/2020|11:39:02|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:39:03|0|1000
27/10/2020|11:39:03|1|0
27/10/2020|11:39:03|2|0
27/10/2020|11:39:03|3|0
27/10/2020|11:39:03|4|0
27/10/2020|11:39:03|5|0
27/10/2020|11:39:03|6|32000
27/10/2020|11:39:03|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:39:04|0|1000
27/10/2020|11:39:04|1|0
27/10/2020|11:39:04|2|0
27/10/2020|11:39:04|3|0
27/10/2020|11:39:04|4|0
27/10/2020|11:39:04|5|0
27/10/2020|11:39:04|6|32000
27/10/2020|11:39:04|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:39:05|0|1000
27/10/2020|11:39:05|1|0
27/10/2020|11:39:05|2|0
27/10/2020|11:39:05|3|0
27/10/2020|11:39:05|4|0
27/10/2020|11:39:05|5|0
27/10/2020|11:39:05|6|32000
27/10/2020|11:39:05|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:39:06|0|1000
27/10/2020|11:39:06|1|0
27/10/2020|11:39:06|2|0
27/10/2020|11:39:06|3|0
27/10/2020|11:39:06|4|0
27/10/2020|11:39:06|5|0
27/10/2020|11:39:06|6|32000
27/10/2020|11:39:06|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:39:07|0|1000
27/10/2020|11:39:07|1|0
27/10/2020|11:39:07|2|0
27/10/2020|11:39:07|3|0
27/10/2020|11:39:07|4|0
27/10/2020|11:39:07|5|0
27/10/2020|11:39:07|6|32000
27/10/2020|11:39:07|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:39:08|0|1000
27/10/2020|11:39:08|1|0
27/10/2020|11:39:08|2|0
27/10/2020|11:39:08|3|0
27/10/2020|11:39:08|4|0
27/10/2020|11:39:08|5|0
27/10/2020|11:39:08|6|32000
27/10/2020|11:39:08|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:39:09|0|1000
27/10/2020|11:39:09|1|0
27/10/2020|11:39:09|2|0
27/10/2020|11:39:09|3|0
27/10/2020|11:39:09|4|0
27/10/2020|11:39:09|5|0
27/10/2020|11:39:09|6|32000
27/10/2020|11:39:09|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:39:10|0|1000
27/10/2020|11:39:10|1|0
27/10/2020|11:39:10|2|0
27/10/2020|11:39:10|3|0
27/10/2020|11:39:10|4|0
27/10/2020|11:39:10|5|0
27/10/2020|11:39:10|6|32000
27/10/2020|11:39:10|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:39:11|0|1000
27/10/2020|11:39:11|1|0
27/10/2020|11:39:11|2|0
27/10/2020|11:39:11|3|0
27/10/2020|11:39:11|4|0
27/10/2020|11:39:11|5|0
27/10/2020|11:39:11|6|32000
27/10/2020|11:39:11|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:39:12|0|1000
27/10/2020|11:39:12|1|0
27/10/2020|11:39:12|2|0
27/10/2020|11:39:12|3|0
27/10/2020|11:39:12|4|0
27/10/2020|11:39:12|5|0
27/10/2020|11:39:12|6|32000
27/10/2020|11:39:12|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:39:13|0|1000
27/10/2020|11:39:13|1|0
27/10/2020|11:39:13|2|0
27/10/2020|11:39:13|3|0
27/10/2020|11:39:13|4|0
27/10/2020|11:39:13|5|0
27/10/2020|11:39:13|6|32000
27/10/2020|11:39:13|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:39:14|0|1000
27/10/2020|11:39:14|1|0
27/10/2020|11:39:14|2|0
27/10/2020|11:39:14|3|0
27/10/2020|11:39:14|4|0
27/10/2020|11:39:14|5|0
27/10/2020|11:39:14|6|32000
27/10/2020|11:39:14|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:40:19|0|1000
27/10/2020|11:40:19|1|0
27/10/2020|11:40:19|2|0
27/10/2020|11:40:19|3|0
27/10/2020|11:40:19|4|0
27/10/2020|11:40:19|5|0
27/10/2020|11:40:19|6|32000
27/10/2020|11:40:19|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:40:20|0|1000
27/10/2020|11:40:20|1|0
27/10/2020|11:40:20|2|0
27/10/2020|11:40:20|3|0
27/10/2020|11:40:20|4|0
27/10/2020|11:40:20|5|0
27/10/2020|11:40:20|6|32000
27/10/2020|11:40:20|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:40:21|0|1000
27/10/2020|11:40:21|1|0
27/10/2020|11:40:21|2|0
27/10/2020|11:40:21|3|0
27/10/2020|11:40:21|4|0
27/10/2020|11:40:21|5|0
27/10/2020|11:40:21|6|32000
27/10/2020|11:40:21|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:40:22|0|1000
27/10/2020|11:40:22|1|0
27/10/2020|11:40:22|2|0
27/10/2020|11:40:22|3|0
27/10/2020|11:40:22|4|0
27/10/2020|11:40:22|5|0
27/10/2020|11:40:22|6|32000
27/10/2020|11:40:22|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:40:23|0|1000
27/10/2020|11:40:23|1|0
