DATA|HORA|PONTO|VALOR
27/10/2020|13:19:29|0|9000
27/10/2020|13:19:29|1|0
27/10/2020|13:19:29|2|0
27/10/2020|13:19:29|3|0
27/10/2020|13:19:29|4|0
27/10/2020|13:19:29|5|0
27/10/2020|13:19:29|6|32000
27/10/2020|13:19:29|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|13:19:31|0|9000
27/10/2020|13:19:31|1|0
27/10/2020|13:19:31|2|0
27/10/2020|13:19:31|3|0
27/10/2020|13:19:31|4|0
27/10/2020|13:19:31|5|0
27/10/2020|13:19:31|6|32000
27/10/2020|13:19:31|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|13:19:33|0|9000
27/10/2020|13:19:33|1|0
27/10/2020|13:19:33|2|0
27/10/2020|13:19:33|3|0
27/10/2020|13:19:33|4|0
27/10/2020|13:19:33|5|0
27/10/2020|13:19:33|6|32000
27/10/2020|13:19:33|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|13:19:35|0|9909
27/10/2020|13:19:35|1|0
27/10/2020|13:19:35|2|0
27/10/2020|13:19:35|3|0
27/10/2020|13:19:35|4|0
27/10/2020|13:19:35|5|0
27/10/2020|13:19:35|6|32000
27/10/2020|13:19:35|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|13:19:37|0|9909
27/10/2020|13:19:37|1|0
27/10/2020|13:19:37|2|0
27/10/2020|13:19:37|3|0
27/10/2020|13:19:37|4|0
27/10/2020|13:19:37|5|0
27/10/2020|13:19:37|6|32000
27/10/2020|13:19:37|7|32000

