DATA|HORA|PONTO|VALOR
27/10/2020|11:32:28|0|1000
27/10/2020|11:32:28|1|0
27/10/2020|11:32:28|2|0
27/10/2020|11:32:28|3|0
27/10/2020|11:32:28|4|0
27/10/2020|11:32:28|5|0
27/10/2020|11:32:28|6|32000
27/10/2020|11:32:28|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:32:29|0|1000
27/10/2020|11:32:29|1|0
27/10/2020|11:32:29|2|0
27/10/2020|11:32:29|3|0
27/10/2020|11:32:29|4|0
27/10/2020|11:32:29|5|0
27/10/2020|11:32:29|6|32000
27/10/2020|11:32:29|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:32:30|0|1000
27/10/2020|11:32:30|1|0
27/10/2020|11:32:30|2|0
27/10/2020|11:32:30|3|0
27/10/2020|11:32:30|4|0
27/10/2020|11:32:30|5|0
27/10/2020|11:32:30|6|32000
27/10/2020|11:32:30|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:32:31|0|1000
27/10/2020|11:32:31|1|0
27/10/2020|11:32:31|2|0
27/10/2020|11:32:31|3|0
27/10/2020|11:32:31|4|0
27/10/2020|11:32:31|5|0
27/10/2020|11:32:31|6|32000
27/10/2020|11:32:31|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:32:32|0|1000
27/10/2020|11:32:32|1|0
27/10/2020|11:32:32|2|0
27/10/2020|11:32:32|3|0
27/10/2020|11:32:32|4|0
27/10/2020|11:32:32|5|0
27/10/2020|11:32:32|6|32000
27/10/2020|11:32:32|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:32:33|0|1000
27/10/2020|11:32:33|1|0
27/10/2020|11:32:33|2|0
27/10/2020|11:32:33|3|0
27/10/2020|11:32:33|4|0
27/10/2020|11:32:33|5|0
27/10/2020|11:32:33|6|32000
27/10/2020|11:32:33|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:32:34|0|1000
27/10/2020|11:32:34|1|0
27/10/2020|11:32:34|2|0
27/10/2020|11:32:34|3|0
27/10/2020|11:32:34|4|0
27/10/2020|11:32:34|5|0
27/10/2020|11:32:34|6|32000
27/10/2020|11:32:34|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:32:35|0|1000
27/10/2020|11:32:35|1|0
27/10/2020|11:32:35|2|0
27/10/2020|11:32:35|3|0
27/10/2020|11:32:35|4|0
27/10/2020|11:32:35|5|0
27/10/2020|11:32:35|6|32000
27/10/2020|11:32:35|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:32:36|0|1000
27/10/2020|11:32:36|1|0
27/10/2020|11:32:36|2|0
27/10/2020|11:32:36|3|0
27/10/2020|11:32:36|4|0
27/10/2020|11:32:36|5|0
27/10/2020|11:32:36|6|32000
27/10/2020|11:32:36|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:32:37|0|1000
27/10/2020|11:32:37|1|0
27/10/2020|11:32:37|2|0
27/10/2020|11:32:37|3|0
27/10/2020|11:32:37|4|0
27/10/2020|11:32:37|5|0
27/10/2020|11:32:37|6|32000
27/10/2020|11:32:37|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:32:38|0|1000
27/10/2020|11:32:38|1|0
27/10/2020|11:32:38|2|0
27/10/2020|11:32:38|3|0
27/10/2020|11:32:38|4|0
27/10/2020|11:32:38|5|0
27/10/2020|11:32:38|6|32000
27/10/2020|11:32:38|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:32:39|0|1000
27/10/2020|11:32:39|1|0
27/10/2020|11:32:39|2|0
27/10/2020|11:32:39|3|0
27/10/2020|11:32:39|4|0
27/10/2020|11:32:39|5|0
27/10/2020|11:32:39|6|32000
27/10/2020|11:32:39|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:32:40|0|1000
27/10/2020|11:32:40|1|0
27/10/2020|11:32:40|2|0
27/10/2020|11:32:40|3|0
27/10/2020|11:32:40|4|0
27/10/2020|11:32:40|5|0
27/10/2020|11:32:40|6|32000
27/10/2020|11:32:40|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:32:41|0|1000
27/10/2020|11:32:41|1|0
27/10/2020|11:32:41|2|0
27/10/2020|11:32:41|3|0
27/10/2020|11:32:41|4|0
27/10/2020|11:32:41|5|0
27/10/2020|11:32:41|6|32000
27/10/2020|11:32:41|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:32:42|0|1000
27/10/2020|11:32:42|1|0
27/10/2020|11:32:42|2|0
27/10/2020|11:32:42|3|0
27/10/2020|11:32:42|4|0
27/10/2020|11:32:42|5|0
27/10/2020|11:32:42|6|32000
27/10/2020|11:32:42|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:32:43|0|1000
27/10/2020|11:32:43|1|0
27/10/2020|11:32:43|2|0
27/10/2020|11:32:43|3|0
27/10/2020|11:32:43|4|0
27/10/2020|11:32:43|5|0
27/10/2020|11:32:43|6|32000
27/10/2020|11:32:43|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:32:44|0|1000
27/10/2020|11:32:44|1|0
27/10/2020|11:32:44|2|0
27/10/2020|11:32:44|3|0
27/10/2020|11:32:44|4|0
27/10/2020|11:32:44|5|0
27/10/2020|11:32:44|6|32000
27/10/2020|11:32:44|7|32000

DATA|HORA|PONTO|VALOR
27/10/2020|11:32:45|0|1000
27/10/2020|11:32:45|1|0
27/10/2020|11:32:45|2|0
27/10/2020|11:32:45|3|0
27/10/2020|11:32:45|4|0
